Kolejka;Gospodarze;Goście;Data;Sędzia główny;Wynik gospodarze;Wynik goście;Ocena
1;1;2;15.08.2018 17:00;Sędzia 1;1;1;8.3
1;3;4;15.08.2018 17:30;Sędzia 2;0;0;8.3
1;5;6;15.08.2018 17:00;Sędzia 3;0;4;8.4
1;7;8;15.08.2018 17:00;Sędzia 4;5;0;8.4
1;9;10;15.08.2018 14:00;Sędzia 5;2;1;8.4
1;11;12;15.08.2018 14:30;Sędzia 6;5;0;8.3
1;13;14;15.08.2018 17:00;Sędzia 7;2;1;8.2
1;15;16;15.08.2018 16:00;Sędzia 8;5;0;8.2
2;2;16;26.09.2018 16:30;Sędzia 7;1;1;8.4
2;14;15;18.08.2018 15:00;Sędzia 6;1;2;8.3
2;12;13;19.08.2018 14:00;Sędzia 9;1;2;8.3
2;10;11;19.08.2018 16:00;Sędzia 10;3;3;8.2
2;8;9;19.08.2018 17:00;Sędzia 11;1;1;8.4
2;6;7;19.08.2018 17:00;Sędzia 5;1;4;8.4
2;4;5;19.08.2018 17:00;Sędzia 12;0;1;7.9
2;1;3;19.08.2018 17:00;Sędzia 13;2;0;7.3
3;3;2;26.08.2018 17:00;Sędzia 14;2;1;8.2
3;5;1;26.08.2018 17:00;Sędzia 2;0;1;8.3
3;7;4;25.08.2018 13:00;Sędzia 1;6;1;8.3
3;9;6;26.08.2018 17:00;Sędzia 15;1;0;7.9
3;11;8;25.08.2018 17:00;Sędzia 16;2;0;8.3
3;13;10;26.08.2018 17:00;Sędzia 8;0;1;7.8
3;12;15;25.08.2018 16:00;Sędzia 4;2;3;8.3
3;16;14;26.08.2018 17:00;Sędzia 3;1;3;8.4
4;2;14;29.08.2018 17:00;Sędzia 9;3;2;8.2
4;12;16;29.08.2018 17:00;Sędzia 11;2;3;8.4
4;10;15;29.08.2018 17:00;Sędzia 2;2;1;8.4
4;8;13;29.08.2018 17:00;Sędzia 15;1;3;8.3
4;6;11;29.08.2018 17:00;Sędzia 3;2;3;8.3
4;4;9;29.08.2018 17:00;Sędzia 6;1;1;8.4
4;1;7;29.08.2018 17:00;Sędzia 7;0;1;8.4
4;3;5;29.08.2018 17:30;Sędzia 12;2;2;8.1
5;5;2;02.09.2018 17:00;Sędzia 4;2;1;8.2
5;7;3;02.09.2018 17:00;Sędzia 8;3;0;8.4
5;9;1;02.09.2018 14:00;Sędzia 9;1;2;
5;11;4;01.09.2018 17:00;Sędzia 2;1;0;7.9
5;13;6;02.09.2018 17:00;Sędzia 16;1;0;8.2
5;15;8;02.09.2018 16:00;Sędzia 17;5;2;7.9
5;16;10;02.09.2018 16:00;Sędzia 14;1;2;8.4
5;14;12;02.09.2018 17:00;Sędzia 1;1;2;8.3
6;2;12;09.09.2018 17:00;Sędzia 12;1;1;8.2
6;10;14;09.09.2018 16:00;Sędzia 11;4;0;8.2
6;8;16;08.09.2018 16:00;Sędzia 15;1;2;8.3
6;6;15;09.09.2018 16:00;S C;1;2;
6;4;13;08.09.2018 15:00;Sędzia 10;5;2;8.3
6;1;11;09.09.2018 13:00;Sędzia 5;1;2;8.4
6;3;9;08.09.2018 11:00;Sędzia 17;0;2;8.3
6;5;7;09.09.2018 16:30;Sędzia 6;0;3;8.3
7;7;2;15.09.2018 16:00;Sędzia 11;6;0;8.3
7;9;5;16.09.2018 16:00;Sędzia 5;2;1;8.3
7;11;3;15.09.2018 16:00;Sędzia 8;2;0;8.2
7;13;1;16.09.2018 16:00;Sędzia 14;1;1;8.3
7;15;4;16.09.2018 11:00;Sędzia 13;3;0;7.9
7;16;6;16.09.2018 16:00;Sędzia 1;0;1;8.3
7;14;8;16.09.2018 13:00;S C;2;0;
7;12;10;16.09.2018 16:00;Sędzia 7;0;5;7.9
8;2;10;22.09.2018 16:00;Sędzia 1;1;0;8.3
8;8;12;22.09.2018 16:00;Sędzia 16;1;1;8.3
8;6;14;23.09.2018 16:00;Sędzia 10;2;0;8.4
8;4;16;22.09.2018 14:00;Sędzia 17;3;0;8.3
8;1;15;22.09.2018 15:00;Sędzia 6;6;0;8.4
8;3;13;23.09.2018 16:00;Sędzia 4;0;0;8.4
8;5;11;23.09.2018 16:00;Sędzia 12;2;1;8.1
8;7;9;23.09.2018 15:00;Sędzia 2;4;1;7.9
9;9;2;30.09.2018 16:00;Sędzia 14;4;3;8.4
9;11;7;29.09.2018 16:00;Sędzia 6;2;1;7.9
9;13;5;30.09.2018 15:00;Sędzia 11;3;1;8.3
9;15;3;29.09.2018 14:00;Sędzia 15;0;0;8.3
9;16;1;30.09.2018 16:00;Sędzia 8;1;4;8.3
9;14;4;30.09.2018 13:00;Sędzia 9;1;2;8.4
9;12;6;30.09.2018 16:00;Sędzia 13;3;1;8.3
9;10;8;30.09.2018 16:00;Sędzia 17;2;0;8.4
10;2;8;06.10.2018 15:00;Sędzia 5;6;1;8.3
10;6;10;07.10.2018 15:00;Sędzia 12;0;0;
10;4;12;06.10.2018 13:00;Sędzia 1;2;0;8.3
10;1;14;07.10.2018 14:00;Sędzia 16;7;0;8.3
10;3;16;07.10.2018 15:00;Sędzia 10;0;3;8.4
10;5;15;07.10.2018 14:00;Sędzia 9;1;9;7.9
10;7;13;06.10.2018 15:00;Sędzia 7;2;1;8.2
10;9;11;07.10.2018 15:00;Sędzia 8;2;1;8.2
11;11;2;13.10.2018 15:00;Sędzia 13;1;1;8.2
11;13;9;14.10.2018 15:00;Sędzia 17;1;1;8.3
11;7;15;13.10.2018 15:00;Sędzia 1;4;1;8.3
11;16;5;14.10.2018 15:00;Sędzia 4;1;2;8.4
11;14;3;14.10.2018 14:00;Sędzia 5;4;0;8.4
11;12;1;14.10.2018 15:00;Sędzia 15;0;4;8.3
11;10;4;14.10.2018 15:00;Sędzia 11;3;1;8.2
11;8;6;13.10.2018 15:00;Sędzia 14;2;3;8.4
12;2;6;20.10.2018 13:00;Sędzia 4;1;3;8.4
12;4;8;20.10.2018 13:00;Sędzia 7;9;1;8.4
12;1;10;20.10.2018 13:00;Sędzia 9;0;0;8.3
12;3;12;21.10.2018 14:00;Sędzia 13;1;0;8.3
12;5;14;21.10.2018 14:00;Sędzia 1;3;0;8.2
12;7;16;21.10.2018 15:00;Sędzia 8;4;1;8.3
12;9;15;20.10.2018 14:00;Sędzia 15;0;2;8.3
12;11;13;20.10.2018 15:00;Sędzia 16;3;2;8.3
13;13;2;28.10.2018 14:00;Sędzia 6;3;0;8.4
13;15;11;28.10.2018 13:00;Sędzia 5;0;1;8.4
13;16;9;28.10.2018 14:00;Sędzia 14;0;1;8.2
13;14;7;28.10.2018 14:00;Sędzia 17;1;5;8.3
13;12;5;28.10.2018 14:00;Sędzia 11;2;2;8.3
13;10;3;28.10.2018 14:00;Sędzia 9;3;3;8.4
13;8;1;27.10.2018 14:00;Sędzia 10;1;1;8.3
13;6;4;28.10.2018 14:30;Sędzia 12;0;2;7.8
14;2;4;03.11.2018 14:00;Sędzia 9;3;3;8.4
14;1;6;04.11.2018 12:00;Sędzia 16;5;1;8.3
14;3;8;03.11.2018 14:00;Sędzia 5;5;0;8.3
14;5;10;04.11.2018 13:00;Sędzia 13;1;3;8.2
14;7;12;03.11.2018 13:00;Sędzia 15;3;1;8.3
14;9;14;04.11.2018 13:00;Sędzia 6;2;2;8.4
14;11;16;03.11.2018 14:00;Sędzia 1;1;0;8.2
14;13;15;04.11.2018 14:00;Sędzia 7;5;1;8.4
15;2;15;10.11.2018 13:00;Sędzia 13;0;2;8.2
15;16;13;10.11.2018 14:00;Sędzia 10;1;1;8.2
15;14;11;11.11.2018 13:00;Sędzia 15;2;1;8.3
15;12;9;10.11.2018 13:00;Sędzia 11;1;2;8.3
15;10;7;10.11.2018 13:00;Sędzia 5;1;2;8.4
15;8;5;10.11.2018 13:00;Sędzia 1;2;5;8.3
15;6;3;10.11.2018 13:00;Sędzia 4;1;0;7.8
15;4;1;10.11.2018 13:00;Sędzia 17;1;2;8.3
16;2;1;17.11.2018 12:00;Sędzia 14;0;3;8.3
16;4;3;17.11.2018 13:00;Sędzia 11;1;1;8.4
16;6;5;17.03.2019 13:00;Sędzia 7;1;1;8.4
16;8;7;17.11.2018 13:00;Sędzia 16;0;5;8.3
16;10;9;17.11.2018 13:00;Sędzia 8;4;1;8.4
16;12;11;17.11.2018 13:00;Sędzia 10;1;1;8.3
16;14;13;18.11.2018 13:00;Sędzia 9;2;1;7.8
16;16;15;17.11.2018 13:00;Sędzia 6;3;2;8.4
17;16;2;23.03.2019 14:00;Sędzia 14;0;1;8.4
17;15;14;24.03.2019 11:00;Sędzia 8;4;2;8.3
